taxon,Genus,Species,Phylum,Class,Order,Family,Lineage,rep_gene
50273, g__unclassified, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Veillonellaceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__unclassified; s__unclassified; 50273; FJ676618.1 gg_id:532032 Synecology primary and secondary habitats Escherichia coli O157:H7 fecal MARC beef cattle feedlot animal #4225 pen 301; was negative STEC O157 clone 3-8A1, FJ676618.1 gg_id:532032 Synecology primary and secondary habitats Escherichia coli O157:H7 fecal MARC beef cattle feedlot animal #4225 pen 301 was negative STEC O157 clone 3-8A1
27374, g__unclassified, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__unclassified; s__unclassified; 27374; EU466205.1 gg_id:288168 bighorn sheep feces clone BH1_aao28a05, EU466205.1 gg_id:288168 bighorn sheep feces clone BH1_aao28a05
11331, g__Aquabacterium, s__unclassified, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Aquabacteriaceae,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Aquabacteriaceae; g__Aquabacterium; s__unclassified; 11331; GQ093895.1 gg_id:385403 Topographical and Temporal Human Skin Microbiome skin toe web space clone nbw426d08c1, GQ093895.1 gg_id:385403 Topographical and Temporal Human Skin Microbiome skin toe web space clone nbw426d08c1
26265, g__Faecalibacterium, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__unclassified; 26265; DQ806446.1 gg_id:187439 human fecal clone RL186_aan92e11, DQ806446.1 gg_id:187439 human fecal clone RL186_aan92e11
41294, g__Actinomadura, s__Actinomadura vinacea, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Thermomonosporaceae,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Thermomonosporaceae; g__Actinomadura; s__Actinomadura vinacea; 41294; DQ076484.1 gg_id:150663 Actinomadura hallensis str. H647-1; KCTC 9992, DQ076484.1 gg_id:150663 Actinomadura hallensis str. H647-1 KCTC 9992
11490, g__Aquabacterium, s__unclassified, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Aquabacteriaceae,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Aquabacteriaceae; g__Aquabacterium; s__unclassified; 11490; GQ086602.1 gg_id:451694 Topographical and Temporal Human Skin Microbiome skin plantar heel clone nbw291g08c1, GQ086602.1 gg_id:451694 Topographical and Temporal Human Skin Microbiome skin plantar heel clone nbw291g08c1
22093, g__Oscillospira, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__unclassified; 22093; EU530368.1 gg_id:263665 mucosa adherent and invasive microbes profile adenoma colorectal cancer clone M4-80, EU530368.1 gg_id:263665 mucosa adherent and invasive microbes profile adenoma colorectal cancer clone M4-80
27277, g__Ruminococcus, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__unclassified; 27277; GQ491920.1 gg_id:539328 Effect Diet on Human Gut Microbiome: Metagenomic Humanized Gnotobiotic Mice cecal contents Mus musculus strain C57BL/6J; PM3t2 clone PM3t2_a01g08, GQ491920.1 gg_id:539328 Effect Diet on Human Gut Microbiome: Metagenomic Humanized Gnotobiotic Mice cecal contents Mus musculus strain C57BL/6J PM3t2 clone PM3t2_a01g08
22128, g__Clostridium, s__Flavonifractor plautii, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Clostridium; s__Flavonifractor plautii; 22128; GQ493730.1 gg_id:581079 Effect Diet on Human Gut Microbiome: Metagenomic Humanized Gnotobiotic Mice cecal contents Mus musculus strain C57BL/6J; PM9t2 clone PM9t2_a04a09, GQ493730.1 gg_id:581079 Effect Diet on Human Gut Microbiome: Metagenomic Humanized Gnotobiotic Mice cecal contents Mus musculus strain C57BL/6J PM9t2 clone PM9t2_a04a09
59714, g__unclassified, s__unclassified, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Rhodospirillaceae,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__unclassified; s__unclassified; 59714; GQ015990.1 gg_id:493677 Topographical and Temporal Human Skin Microbiome skin back clone nbw819g09c1, GQ015990.1 gg_id:493677 Topographical and Temporal Human Skin Microbiome skin back clone nbw819g09c1
